"assay"	"Sample.Name"	"pool"	"dil"	"run"	"rep"	"CT"
"Assay01"	"2"	1	4	2	3	27.3369998931885
"Assay01"	"2"	1	5	2	3	28.4979991912842
"Assay01"	"2"	1	5	2	3	28.4850006103516
"Assay01"	"2"	1	6	2	3	30.1000003814697
"Assay01"	"2"	1	6	2	3	30.2709999084473
"Assay01"	"2"	1	7	2	3	31.2759990692139
"Assay01"	"2"	1	7	2	3	32.0309982299805
"Assay01"	"2"	1	8	2	3	31.9020004272461
"Assay01"	"2"	1	8	2	3	32.5719985961914
"Assay01"	"2"	1	1	2	4	24.246000289917
"Assay01"	"2"	1	1	2	4	24.4099998474121
"Assay01"	"2"	1	2	2	4	25.3190002441406
"Assay01"	"2"	1	2	2	4	25.3239994049072
"Assay01"	"2"	1	3	2	4	26.0690002441406
"Assay01"	"2"	1	3	2	4	26.0249996185303
"Assay01"	"2"	1	4	2	4	27.7889995574951
"Assay01"	"2"	1	4	2	4	27.1599998474121
"Assay01"	"2"	1	5	2	4	28.1660003662109
"Assay01"	"2"	1	5	2	4	28.2569999694824
"Assay01"	"2"	1	6	2	4	29.511999130249
"Assay01"	"2"	1	6	2	4	29.6350002288818
"Assay01"	"2"	1	7	2	4	32.0929985046387
"Assay01"	"2"	1	7	2	4	31.9850006103516
"Assay01"	"2"	1	8	2	4	40
"Assay01"	"2"	1	8	2	4	40
"Assay01"	"2"	1	1	2	5	24.2740001678467
"Assay01"	"2"	1	1	2	5	24.3409996032715
"Assay01"	"2"	1	2	2	5	25.2889995574951
"Assay01"	"2"	1	2	2	5	25.3680000305176
"Assay01"	"2"	1	3	2	5	26.4720001220703
"Assay01"	"2"	1	3	2	5	26.4270000457764
"Assay01"	"2"	1	4	2	5	27.5669994354248
"Assay01"	"2"	1	4	2	5	27.3889999389648
"Assay01"	"2"	1	5	2	5	28.8020000457764
"Assay01"	"2"	1	5	2	5	29.0259990692139
"Assay01"	"2"	1	6	2	5	29.80299949646
"Assay01"	"2"	1	6	2	5	30.0750007629395
"Assay01"	"2"	1	7	2	5	30.3369998931885
"Assay01"	"2"	1	7	2	5	30.6679992675781
"Assay01"	"2"	1	8	2	5	34.7019996643066
"Assay01"	"2"	1	8	2	5	34.3330001831055
"Assay01"	"2"	1	1	2	6	24.2350006103516
"Assay01"	"2"	1	1	2	6	24.3299999237061
"Assay01"	"2"	1	2	2	6	25.2560005187988
"Assay01"	"2"	1	2	2	6	25.3269996643066
"Assay01"	"2"	1	3	2	6	26.1879997253418
"Assay01"	"2"	1	3	2	6	26.253999710083
"Assay01"	"2"	1	4	2	6	27.3950004577637
"Assay01"	"2"	1	4	2	6	27.3290004730225
"Assay01"	"2"	1	5	2	6	28.742000579834
"Assay01"	"2"	1	5	2	6	28.9589996337891
"Assay01"	"2"	1	6	2	6	28.9589996337891
"Assay01"	"2"	1	6	2	6	29.0359992980957
"Assay01"	"2"	1	7	2	6	30.4139995574951
"Assay01"	"2"	1	7	2	6	30.4769992828369
"Assay01"	"2"	1	8	2	6	37.9179992675781
"Assay01"	"2"	1	8	2	6	40
"Assay01"	"2"	1	1	2	7	24.1690006256104
"Assay01"	"2"	1	1	2	7	24.1800003051758
"Assay01"	"2"	1	2	2	7	25.1550006866455
"Assay01"	"2"	1	2	2	7	25.0279998779297
"Assay01"	"2"	1	3	2	7	26.4549999237061
"Assay01"	"2"	1	3	2	7	26.7040004730225
"Assay01"	"2"	1	4	2	7	27.5139999389648
"Assay01"	"2"	1	4	2	7	27.4179992675781
"Assay01"	"2"	1	5	2	7	29.0690002441406
"Assay01"	"2"	1	5	2	7	29.2099990844727
"Assay01"	"2"	1	6	2	7	29.2280006408691
"Assay01"	"2"	1	6	2	7	29.3360004425049
"Assay01"	"2"	1	7	2	7	31.0590000152588
